swing_high_bars,tp1_rr,tp1_pct,bull_risk_reduction,total_trades,winning_trades,losing_trades,win_rate,total_pnl,avg_pnl,profit_factor,avg_bars_held,bear_trades,bull_trades,bear_win_rate,bull_win_rate
3,2.0,80,0.75,8,4,4,50.0,450.0000000000001,56.250000000000014,1.6,37.375,0,8,0,50.0
5,2.0,80,0.75,8,4,4,50.0,450.0000000000001,56.250000000000014,1.6,37.375,0,8,0,50.0
7,2.0,80,0.75,8,4,4,50.0,450.0000000000001,56.250000000000014,1.6,37.375,0,8,0,50.0
10,2.0,80,0.75,6,3,3,50.0,337.5,56.25,1.6,75.66666666666667,0,6,0,50.0
3,2.0,80,0.5,8,4,4,50.0,300.0000000000001,37.500000000000014,1.6,37.375,0,8,0,50.0
5,2.0,80,0.5,8,4,4,50.0,300.0000000000001,37.500000000000014,1.6,37.375,0,8,0,50.0
7,2.0,80,0.5,8,4,4,50.0,300.0000000000001,37.500000000000014,1.6,37.375,0,8,0,50.0
10,2.0,80,0.5,6,3,3,50.0,225.0,37.5,1.6,75.66666666666667,0,6,0,50.0
3,2.0,80,0.25,8,4,4,50.0,150.00000000000006,18.750000000000007,1.6,37.375,0,8,0,50.0
5,2.0,80,0.25,8,4,4,50.0,150.00000000000006,18.750000000000007,1.6,37.375,0,8,0,50.0
7,2.0,80,0.25,8,4,4,50.0,150.00000000000006,18.750000000000007,1.6,37.375,0,8,0,50.0
10,2.0,80,0.25,6,3,3,50.0,112.5,18.75,1.6,75.66666666666667,0,6,0,50.0
3,2.0,70,0.75,8,4,4,50.0,299.99999999999994,37.49999999999999,1.4,37.375,0,8,0,50.0
5,2.0,70,0.75,8,4,4,50.0,299.99999999999994,37.49999999999999,1.4,37.375,0,8,0,50.0
7,2.0,70,0.75,8,4,4,50.0,299.99999999999994,37.49999999999999,1.4,37.375,0,8,0,50.0
10,2.0,70,0.75,6,3,3,50.0,225.0,37.5,1.4,75.66666666666667,0,6,0,50.0
3,2.0,70,0.5,8,4,4,50.0,200.0,25.0,1.4,37.375,0,8,0,50.0
5,2.0,70,0.5,8,4,4,50.0,200.0,25.0,1.4,37.375,0,8,0,50.0
7,2.0,70,0.5,8,4,4,50.0,200.0,25.0,1.4,37.375,0,8,0,50.0
10,2.0,70,0.5,6,3,3,50.0,150.0,25.0,1.4,75.66666666666667,0,6,0,50.0
3,2.0,70,0.25,8,4,4,50.0,100.0,12.5,1.4,37.375,0,8,0,50.0
5,2.0,70,0.25,8,4,4,50.0,100.0,12.5,1.4,37.375,0,8,0,50.0
7,2.0,70,0.25,8,4,4,50.0,100.0,12.5,1.4,37.375,0,8,0,50.0
10,2.0,70,0.25,6,3,3,50.0,75.0,12.5,1.4,75.66666666666667,0,6,0,50.0
3,1.5,80,0.5,8,4,4,50.0,99.99999999999977,12.499999999999972,1.1999999999999995,33.5,0,8,0,50.0
5,1.5,80,0.5,8,4,4,50.0,99.99999999999977,12.499999999999972,1.1999999999999995,33.5,0,8,0,50.0
7,1.5,80,0.5,8,4,4,50.0,99.99999999999977,12.499999999999972,1.1999999999999995,33.5,0,8,0,50.0
3,1.5,80,0.25,8,4,4,50.0,49.999999999999886,6.249999999999986,1.1999999999999995,33.5,0,8,0,50.0
5,1.5,80,0.25,8,4,4,50.0,49.999999999999886,6.249999999999986,1.1999999999999995,33.5,0,8,0,50.0
7,1.5,80,0.25,8,4,4,50.0,49.999999999999886,6.249999999999986,1.1999999999999995,33.5,0,8,0,50.0
3,1.5,80,0.75,8,4,4,50.0,149.9999999999996,18.74999999999995,1.1999999999999993,33.5,0,8,0,50.0
5,1.5,80,0.75,8,4,4,50.0,149.9999999999996,18.74999999999995,1.1999999999999993,33.5,0,8,0,50.0
7,1.5,80,0.75,8,4,4,50.0,149.9999999999996,18.74999999999995,1.1999999999999993,33.5,0,8,0,50.0
10,1.5,80,0.75,6,3,3,50.0,112.49999999999932,18.749999999999886,1.1999999999999988,61.833333333333336,0,6,0,50.0
10,1.5,80,0.5,6,3,3,50.0,74.99999999999957,12.499999999999929,1.1999999999999988,61.833333333333336,0,6,0,50.0
10,1.5,80,0.25,6,3,3,50.0,37.49999999999979,6.2499999999999645,1.1999999999999988,61.833333333333336,0,6,0,50.0
3,1.5,70,0.5,8,4,4,50.0,24.999999999999687,3.124999999999961,1.0499999999999996,33.5,0,8,0,50.0
5,1.5,70,0.5,8,4,4,50.0,24.999999999999687,3.124999999999961,1.0499999999999996,33.5,0,8,0,50.0
7,1.5,70,0.5,8,4,4,50.0,24.999999999999687,3.124999999999961,1.0499999999999996,33.5,0,8,0,50.0
3,1.5,70,0.25,8,4,4,50.0,12.499999999999844,1.5624999999999805,1.0499999999999996,33.5,0,8,0,50.0
5,1.5,70,0.25,8,4,4,50.0,12.499999999999844,1.5624999999999805,1.0499999999999996,33.5,0,8,0,50.0
7,1.5,70,0.25,8,4,4,50.0,12.499999999999844,1.5624999999999805,1.0499999999999996,33.5,0,8,0,50.0
3,1.5,70,0.75,8,4,4,50.0,37.49999999999952,4.68749999999994,1.0499999999999994,33.5,0,8,0,50.0
5,1.5,70,0.75,8,4,4,50.0,37.49999999999952,4.68749999999994,1.0499999999999994,33.5,0,8,0,50.0
7,1.5,70,0.75,8,4,4,50.0,37.49999999999952,4.68749999999994,1.0499999999999994,33.5,0,8,0,50.0
10,1.5,70,0.75,6,3,3,50.0,28.124999999999318,4.687499999999886,1.0499999999999987,61.833333333333336,0,6,0,50.0
10,1.5,70,0.5,6,3,3,50.0,18.749999999999545,3.124999999999924,1.0499999999999987,61.833333333333336,0,6,0,50.0
10,1.5,70,0.25,6,3,3,50.0,9.374999999999773,1.562499999999962,1.0499999999999987,61.833333333333336,0,6,0,50.0
3,2.0,50,0.75,8,4,4,50.0,2.842170943040401e-14,3.552713678800501e-15,1.0,37.375,0,8,0,50.0
5,2.0,50,0.75,8,4,4,50.0,2.842170943040401e-14,3.552713678800501e-15,1.0,37.375,0,8,0,50.0
7,2.0,50,0.75,8,4,4,50.0,2.842170943040401e-14,3.552713678800501e-15,1.0,37.375,0,8,0,50.0
3,2.0,50,0.25,8,4,4,50.0,0.0,0.0,1.0,37.375,0,8,0,50.0
3,2.0,50,0.5,8,4,4,50.0,0.0,0.0,1.0,37.375,0,8,0,50.0
5,2.0,50,0.25,8,4,4,50.0,0.0,0.0,1.0,37.375,0,8,0,50.0
5,2.0,50,0.5,8,4,4,50.0,0.0,0.0,1.0,37.375,0,8,0,50.0
7,2.0,50,0.25,8,4,4,50.0,0.0,0.0,1.0,37.375,0,8,0,50.0
7,2.0,50,0.5,8,4,4,50.0,0.0,0.0,1.0,37.375,0,8,0,50.0
10,2.0,50,0.25,6,3,3,50.0,0.0,0.0,1.0,75.66666666666667,0,6,0,50.0
10,2.0,50,0.5,6,3,3,50.0,0.0,0.0,1.0,75.66666666666667,0,6,0,50.0
10,2.0,50,0.75,6,3,3,50.0,-2.842170943040401e-14,-4.736951571734001e-15,1.0,75.66666666666667,0,6,0,50.0
10,1.0,80,0.25,6,3,3,50.0,-37.499999999999986,-6.249999999999997,0.8,58.0,0,6,0,50.0
3,1.0,80,0.25,8,4,4,50.0,-49.99999999999998,-6.249999999999997,0.8,32.5,0,8,0,50.0
5,1.0,80,0.25,8,4,4,50.0,-49.99999999999998,-6.249999999999997,0.8,32.5,0,8,0,50.0
7,1.0,80,0.25,8,4,4,50.0,-49.99999999999998,-6.249999999999997,0.8,32.5,0,8,0,50.0
10,1.0,80,0.5,6,3,3,50.0,-74.99999999999997,-12.499999999999995,0.8,58.0,0,6,0,50.0
3,1.0,80,0.5,8,4,4,50.0,-99.99999999999996,-12.499999999999995,0.8,32.5,0,8,0,50.0
5,1.0,80,0.5,8,4,4,50.0,-99.99999999999996,-12.499999999999995,0.8,32.5,0,8,0,50.0
7,1.0,80,0.5,8,4,4,50.0,-99.99999999999996,-12.499999999999995,0.8,32.5,0,8,0,50.0
10,1.0,80,0.75,6,3,3,50.0,-112.49999999999997,-18.749999999999996,0.8,58.0,0,6,0,50.0
3,1.0,80,0.75,8,4,4,50.0,-149.99999999999994,-18.749999999999993,0.8,32.5,0,8,0,50.0
5,1.0,80,0.75,8,4,4,50.0,-149.99999999999994,-18.749999999999993,0.8,32.5,0,8,0,50.0
7,1.0,80,0.75,8,4,4,50.0,-149.99999999999994,-18.749999999999993,0.8,32.5,0,8,0,50.0
3,1.5,50,0.75,8,4,4,50.0,-187.50000000000026,-23.437500000000032,0.7499999999999997,33.5,0,8,0,50.0
5,1.5,50,0.75,8,4,4,50.0,-187.50000000000026,-23.437500000000032,0.7499999999999997,33.5,0,8,0,50.0
7,1.5,50,0.75,8,4,4,50.0,-187.50000000000026,-23.437500000000032,0.7499999999999997,33.5,0,8,0,50.0
3,1.5,50,0.25,8,4,4,50.0,-62.5000000000001,-7.812500000000012,0.7499999999999996,33.5,0,8,0,50.0
5,1.5,50,0.25,8,4,4,50.0,-62.5000000000001,-7.812500000000012,0.7499999999999996,33.5,0,8,0,50.0
7,1.5,50,0.25,8,4,4,50.0,-62.5000000000001,-7.812500000000012,0.7499999999999996,33.5,0,8,0,50.0
3,1.5,50,0.5,8,4,4,50.0,-125.0000000000002,-15.625000000000025,0.7499999999999996,33.5,0,8,0,50.0
5,1.5,50,0.5,8,4,4,50.0,-125.0000000000002,-15.625000000000025,0.7499999999999996,33.5,0,8,0,50.0
7,1.5,50,0.5,8,4,4,50.0,-125.0000000000002,-15.625000000000025,0.7499999999999996,33.5,0,8,0,50.0
10,1.5,50,0.75,6,3,3,50.0,-140.62500000000043,-23.43750000000007,0.7499999999999993,61.833333333333336,0,6,0,50.0
10,1.5,50,0.25,6,3,3,50.0,-46.875000000000156,-7.812500000000026,0.7499999999999991,61.833333333333336,0,6,0,50.0
10,1.5,50,0.5,6,3,3,50.0,-93.75000000000031,-15.625000000000052,0.7499999999999991,61.833333333333336,0,6,0,50.0
10,1.0,70,0.25,6,3,3,50.0,-56.25,-9.375,0.7,58.0,0,6,0,50.0
3,1.0,70,0.25,8,4,4,50.0,-75.0,-9.375,0.7,32.5,0,8,0,50.0
5,1.0,70,0.25,8,4,4,50.0,-75.0,-9.375,0.7,32.5,0,8,0,50.0
7,1.0,70,0.25,8,4,4,50.0,-75.0,-9.375,0.7,32.5,0,8,0,50.0
10,1.0,70,0.5,6,3,3,50.0,-112.5,-18.75,0.7,58.0,0,6,0,50.0
3,1.0,70,0.5,8,4,4,50.0,-150.0,-18.75,0.7,32.5,0,8,0,50.0
5,1.0,70,0.5,8,4,4,50.0,-150.0,-18.75,0.7,32.5,0,8,0,50.0
7,1.0,70,0.5,8,4,4,50.0,-150.0,-18.75,0.7,32.5,0,8,0,50.0
10,1.0,70,0.75,6,3,3,50.0,-168.75,-28.125,0.7,58.0,0,6,0,50.0
3,1.0,70,0.75,8,4,4,50.0,-225.00000000000003,-28.125000000000004,0.7,32.5,0,8,0,50.0
5,1.0,70,0.75,8,4,4,50.0,-225.00000000000003,-28.125000000000004,0.7,32.5,0,8,0,50.0
7,1.0,70,0.75,8,4,4,50.0,-225.00000000000003,-28.125000000000004,0.7,32.5,0,8,0,50.0
10,1.0,50,0.25,6,3,3,50.0,-93.75,-15.625,0.5,58.0,0,6,0,50.0
3,1.0,50,0.25,8,4,4,50.0,-125.0,-15.625,0.5,32.5,0,8,0,50.0
5,1.0,50,0.25,8,4,4,50.0,-125.0,-15.625,0.5,32.5,0,8,0,50.0
7,1.0,50,0.25,8,4,4,50.0,-125.0,-15.625,0.5,32.5,0,8,0,50.0
10,1.0,50,0.5,6,3,3,50.0,-187.5,-31.25,0.5,58.0,0,6,0,50.0
3,1.0,50,0.5,8,4,4,50.0,-250.0,-31.25,0.5,32.5,0,8,0,50.0
5,1.0,50,0.5,8,4,4,50.0,-250.0,-31.25,0.5,32.5,0,8,0,50.0
7,1.0,50,0.5,8,4,4,50.0,-250.0,-31.25,0.5,32.5,0,8,0,50.0
10,1.0,50,0.75,6,3,3,50.0,-281.25,-46.875,0.5,58.0,0,6,0,50.0
3,1.0,50,0.75,8,4,4,50.0,-375.0,-46.875,0.5,32.5,0,8,0,50.0
5,1.0,50,0.75,8,4,4,50.0,-375.0,-46.875,0.5,32.5,0,8,0,50.0
7,1.0,50,0.75,8,4,4,50.0,-375.0,-46.875,0.5,32.5,0,8,0,50.0
10,0.5,80,0.25,6,3,3,50.0,-112.49999999999976,-18.74999999999996,0.40000000000000135,56.666666666666664,0,6,0,50.0
10,0.5,80,0.5,6,3,3,50.0,-224.99999999999952,-37.49999999999992,0.40000000000000135,56.666666666666664,0,6,0,50.0
10,0.5,80,0.75,6,3,3,50.0,-337.49999999999926,-56.24999999999988,0.4000000000000013,56.666666666666664,0,6,0,50.0
3,0.5,80,0.25,8,4,4,50.0,-149.99999999999983,-18.74999999999998,0.4000000000000007,31.375,0,8,0,50.0
5,0.5,80,0.25,8,4,4,50.0,-149.99999999999983,-18.74999999999998,0.4000000000000007,31.375,0,8,0,50.0
7,0.5,80,0.25,8,4,4,50.0,-149.99999999999983,-18.74999999999998,0.4000000000000007,31.375,0,8,0,50.0
3,0.5,80,0.5,8,4,4,50.0,-299.99999999999966,-37.49999999999996,0.4000000000000007,31.375,0,8,0,50.0
5,0.5,80,0.5,8,4,4,50.0,-299.99999999999966,-37.49999999999996,0.4000000000000007,31.375,0,8,0,50.0
7,0.5,80,0.5,8,4,4,50.0,-299.99999999999966,-37.49999999999996,0.4000000000000007,31.375,0,8,0,50.0
3,0.5,80,0.75,8,4,4,50.0,-449.9999999999995,-56.249999999999936,0.4000000000000007,31.375,0,8,0,50.0
5,0.5,80,0.75,8,4,4,50.0,-449.9999999999995,-56.249999999999936,0.4000000000000007,31.375,0,8,0,50.0
7,0.5,80,0.75,8,4,4,50.0,-449.9999999999995,-56.249999999999936,0.4000000000000007,31.375,0,8,0,50.0
10,0.5,70,0.25,6,3,3,50.0,-121.87499999999977,-20.31249999999996,0.35000000000000114,56.666666666666664,0,6,0,50.0
10,0.5,70,0.5,6,3,3,50.0,-243.74999999999955,-40.62499999999992,0.35000000000000114,56.666666666666664,0,6,0,50.0
10,0.5,70,0.75,6,3,3,50.0,-365.6249999999994,-60.93749999999989,0.3500000000000011,56.666666666666664,0,6,0,50.0
3,0.5,70,0.25,8,4,4,50.0,-162.49999999999986,-20.312499999999982,0.3500000000000006,31.375,0,8,0,50.0
5,0.5,70,0.25,8,4,4,50.0,-162.49999999999986,-20.312499999999982,0.3500000000000006,31.375,0,8,0,50.0
7,0.5,70,0.25,8,4,4,50.0,-162.49999999999986,-20.312499999999982,0.3500000000000006,31.375,0,8,0,50.0
3,0.5,70,0.5,8,4,4,50.0,-324.9999999999997,-40.624999999999964,0.3500000000000006,31.375,0,8,0,50.0
5,0.5,70,0.5,8,4,4,50.0,-324.9999999999997,-40.624999999999964,0.3500000000000006,31.375,0,8,0,50.0
7,0.5,70,0.5,8,4,4,50.0,-324.9999999999997,-40.624999999999964,0.3500000000000006,31.375,0,8,0,50.0
3,0.5,70,0.75,8,4,4,50.0,-487.4999999999996,-60.93749999999995,0.35000000000000053,31.375,0,8,0,50.0
5,0.5,70,0.75,8,4,4,50.0,-487.4999999999996,-60.93749999999995,0.35000000000000053,31.375,0,8,0,50.0
7,0.5,70,0.75,8,4,4,50.0,-487.4999999999996,-60.93749999999995,0.35000000000000053,31.375,0,8,0,50.0
10,0.5,50,0.25,6,3,3,50.0,-140.62499999999983,-23.43749999999997,0.25000000000000083,56.666666666666664,0,6,0,50.0
10,0.5,50,0.5,6,3,3,50.0,-281.24999999999966,-46.87499999999994,0.25000000000000083,56.666666666666664,0,6,0,50.0
10,0.5,50,0.75,6,3,3,50.0,-421.87499999999955,-70.31249999999993,0.25000000000000083,56.666666666666664,0,6,0,50.0
3,0.5,50,0.25,8,4,4,50.0,-187.4999999999999,-23.437499999999986,0.2500000000000004,31.375,0,8,0,50.0
5,0.5,50,0.25,8,4,4,50.0,-187.4999999999999,-23.437499999999986,0.2500000000000004,31.375,0,8,0,50.0
7,0.5,50,0.25,8,4,4,50.0,-187.4999999999999,-23.437499999999986,0.2500000000000004,31.375,0,8,0,50.0
3,0.5,50,0.5,8,4,4,50.0,-374.9999999999998,-46.87499999999997,0.2500000000000004,31.375,0,8,0,50.0
5,0.5,50,0.5,8,4,4,50.0,-374.9999999999998,-46.87499999999997,0.2500000000000004,31.375,0,8,0,50.0
7,0.5,50,0.5,8,4,4,50.0,-374.9999999999998,-46.87499999999997,0.2500000000000004,31.375,0,8,0,50.0
3,0.5,50,0.75,8,4,4,50.0,-562.4999999999998,-70.31249999999997,0.2500000000000004,31.375,0,8,0,50.0
5,0.5,50,0.75,8,4,4,50.0,-562.4999999999998,-70.31249999999997,0.2500000000000004,31.375,0,8,0,50.0
7,0.5,50,0.75,8,4,4,50.0,-562.4999999999998,-70.31249999999997,0.2500000000000004,31.375,0,8,0,50.0
